,lat,lon
1241,-5.0,-45.0
1242,-20.5,-55.0
1243,-18.0,-44.0
1244,-24.5,-51.33333
1245,-8.33333,-37.75
1246,-30.0,-53.5
1247,-22.0,-49.0
1248,-10.5,-37.33333
1249,-10.5,-48.0
1250,-30.0,-71.0
1251,-23.33333,-58.0
1252,-33.0,-56.0
1253,0.452,34.16
1254,0.363,34.172
1255,-0.08,34.999
1256,-3.616,38.156
1257,-1.284,35.099
1258,-1.0,36.82
1259,-6.789,37.0
1260,-8.6,34.715
1261,-5.116,31.937
1262,-25.753,27.744
1263,0.657,34.208
1264,-25.959,32.03
1265,-28.465,21.287
1266,-25.615,27.795
1267,-30.572,30.57
1268,-28.606,32.084
1269,1.0,38.0
1270,-18.25,35.0
1271,-30.0,26.0
1272,-6.0,35.0
1273,2.0,33.0
1274,-19.0,29.0
1275,10.148,39.331
1276,8.0,38.0
1277,-23.506,-51.999
1278,26.129,-79.855
1279,19.323,-99.176
1280,19.463,-99.072
1281,19.405,-99.12
1282,19.354,-99.089
1283,19.453,-99.114
1284,19.254,-99.108
1285,20.649,-103.336
1286,18.863,-98.961
1287,19.479,-99.058
1288,19.333,-98.876
1289,23.709,-99.051
1290,-21.463,-46.522
1291,-12.0,-42.0
1292,-10.0,-55.0
1293,-15.581,-49.636
1294,-5.0,-45.0
1295,-18.0,-44.0
1296,-24.0,-51.0
1297,-22.0,-49.0
1298,-10.5,-48.0
1299,28.751,-82.5
1300,39.76,-98.5
1301,-33.0,-56.0
1302,36.864,43.0
1303,36.864,43.0
1304,32.0,34.832
1305,36.133,36.067
1306,36.967,35.483
1307,36.95,35.633
1308,36.983,35.667
1309,37.017,35.733
1310,37.25,35.65
1311,37.367,35.85
1312,37.333,35.917
1313,37.35,36.05
1314,37.367,36.083
1315,37.117,36.2
1316,37.283,36.35
1317,33.033,35.833
1318,32.967,35.8
1319,32.767,35.4
1320,33.067,35.583
1321,32.5,35.45
1322,32.433,34.9
1323,32.083,34.867
1324,29.662,52.468
1325,28.0,3.0
1326,46.0,2.0
1327,39.0,22.0
1328,32.0,53.0
1329,31.5,34.75
1330,42.833,12.833
1331,31.0,36.0
1332,35.917,14.433
1333,32.0,-5.0
1334,39.5,-8.0
1335,40.0,-4.0
1336,35.0,38.0
1337,34.0,9.0
1338,39.0,35.0
1339,24.998,121.588
1340,25.031,121.51
1341,25.093,121.343
1342,25.183,121.487
1343,23.637,120.557
1344,23.636,120.557
1345,17.667,81.0
1346,21.341,105.724
1347,22.133,108.0
1348,7.64,80.377
1349,18.32,109.5
1350,19.499,109.563
1351,21.267,110.083
1352,15.491,74.982
1353,35.0,105.0
1354,23.0,113.0
1355,24.0,109.0
1356,19.2,109.6
1357,16.0,79.0
1358,20.0,77.0
1359,13.5,76.0
1360,10.0,76.5
1361,11.0,78.0
1362,18.0,105.0
1363,15.0,100.0
1364,16.167,107.833
1365,-25.333,151.133
1366,-26.083,151.433
1367,-17.367,144.633
1368,-17.417,144.817
1369,-16.95,144.617
1370,-26.689,150.016
1371,-27.5,151.05
1372,-27.467,152.983
1373,-27.533,153.0
1374,-17.56,144.567
1375,31.166667,104.283333
1376,26.816667,102.25
1377,25.6,114.716667
1378,26.5,117.95
1379,18.15,108.933333
1380,26.1,103.166667
1381,22.233333,108.016667
1382,21.95,107.783333
1383,22.85,108.283333
1384,22.833333,108.283333
1385,23.05,111.05
